cbffbccaf, 10, 6, 13, 10, 4, 7, -2501.23830657
ccbffaccbffaccbff, 18, 12, 25, 20, 8, 15, -4505.51826886
ccbfffbcc, 10, 7, 12, 10, 3, 8, -2501.34702029
cbffacccaffbc, 14, 9, 20, 16, 7, 12, -3503.65490119
ccafaccafacc, 13, 8, 16, 12, 4, 8, -3251.91656149
cbffbcbffbc, 12, 7, 16, 12, 5, 8, -3001.37386587
cccbffffbccc, 13, 10, 16, 14, 4, 12, -3253.26536323
ccccafffbccaf, 14, 10, 18, 15, 5, 12, -3503.6433793
ccbffaccbffacc, 15, 10, 20, 16, 6, 12, -3753.7617305
cbffbc, 7, 4, 8, 6, 2, 4, -1749.59607365
ffbccaff, 9, 6, 10, 8, 2, 6, -2250.82051722
ccafacc, 8, 5, 8, 6, 1, 4, -2000.01857834
ccbffbccbff, 12, 8, 15, 12, 4, 9, -3002.46479745
bfb, 4, 1, 4, 2, 1, 0, -997.77950997
cccaffbc, 9, 6, 10, 8, 2, 6, -2250.62495864
